,Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality,Unnamed: 26,Deviation
10,30,-71.9582,90.4345,197.0177,197.358,0.6677,620705.8408,4631589.1849,1350.4,-0.1802,0.0092,9.4223,0.9986,Yes,4.7057,0.0131,-1.0861,-0.003,27.7709,13.8765,7.655,0.0009,0.0003,100,0.2693,100,,0.10242326962356733
11,33,-72.0739,90.3688,198.2233,198.4441,1.1748,620706.767,4631589.1784,1347.5466,-0.2151,0.0157,10.3485,0.9986,Yes,5.7917,0.0161,1.3943,0.0039,27.5907,13.8167,7.6567,0.0009,0.0003,100,0.3101,100,,0.130017613942529
12,36,-72.1504,90.1566,197.0367,197.0498,1.0048,620707.6884,4631589.1741,1344.6916,-0.2549,0.0199,11.27,0.9986,Yes,4.3975,0.0122,-0.43799999999999994,-0.0012,27.5661,13.7684,7.6584,0.0009,0.0003,100,0.4546,100,,0.16242183209244734
13,39,-72.22,90.0774,197.4688,197.4878,0.7367,620708.6063,4631589.1723,1341.8355,-0.2986,0.0218,12.1878,0.9984,Yes,4.8354,0.0134,1.1337,0.0031,27.6152,13.7493,7.6599,0.0009,0.0003,100,0.2331,100,,0.1981780070524304
14,42,-72.2441,90.2276,196.3149,196.354,0.5182,620709.5218,4631589.1698,1338.9786,-0.3448,0.0242,13.1033,0.9988,Yes,3.7017,0.0103,-0.0296,-0.0001,27.9101,13.7465,7.6607,0.0009,0.0003,100,0.2707,100,,0.23654560551259202
15,45,-72.3394,89.9483,196.4918,196.3836,1.2762,620710.4343,4631589.1684,1336.1207,-0.3941,0.0256,14.0158,0.9990000000000001,Yes,3.7313,0.0104,0.6895,0.0019,27.9511,13.7631,7.6612,0.0009,0.0003,100,0.3292,100,,0.2779661505448016
16,48,-72.3232,89.8243,195.9965,195.6941,0.4096,620711.3448,4631589.1702,1333.2622,-0.4454,0.0238,14.9263,0.9990000000000001,Yes,3.0418,0.0084,0.2722,0.0008,27.5989,13.7898,7.6629,0.0009,0.0003,100,0.1113,100,,0.32123535206127696
17,51,-72.3918,89.64399999999999,195.8802,195.4219,0.8769,620712.254,4631589.1744,1330.4033,-0.4981,0.0196,15.8355,0.9987,Yes,2.7696,0.0077,0.0911,0.0003,27.6726,13.8167,7.6661,0.0009,0.0003,100,0.3125,100,,0.36580555977322565
18,54,-72.4245,89.4935,195.90599999999998,195.3308,0.5605,620713.1607,4631589.1813,1327.5436,-0.5535,0.0127,16.7422,0.9988,Yes,2.6785,0.0074,2.0005,0.0056,27.8774,13.844000000000001,7.6675,0.0009,0.0003,100,0.1079,100,,0.41302784339990617
19,57,-72.4376,89.9008,193.5592,193.3303,1.2364,620714.0662,4631589.1861,1324.6836,-0.6101,0.008,17.6477,0.9986,Yes,0.6779999999999999,0.0019,-1.1173,-0.0031,27.9265,13.877,7.6696,0.0009,0.0003,100,0.2578,100,,0.46168635920682244
20,60,-72.5226,90.2775,194.3554,194.4476,1.4175,620714.9693,4631589.1847,1321.8227,-0.6693,0.0094,18.5508,0.9985,Yes,1.7953,0.005,-3.2861,-0.0091,27.9511,13.9107,7.67,0.0009,0.0003,100,0.2278,100,,0.5130502530063411
21,63,-72.5932,90.1744,197.7113,197.7337,0.7706,620715.8686,4631589.1811,1318.9607,-0.7325,0.0129,19.4501,0.9989,Yes,5.0814,0.0141,-0.0801,-0.0002,27.9265,13.9476,7.6718,0.0009,0.0003,100,0.2434,100,,0.5684132003581368
22,66,-72.5563,90.1042,197.8809,197.8139,0.425,620716.7669,4631589.1789,1316.0984,-0.7966,0.0151,20.3484,0.9986,Yes,5.1616,0.0143,0.7558,0.0021,27.8282,13.9921,7.6742,0.0009,0.0003,100,0.2089,100,,0.6247939132642069
23,69,-72.6722,90.0569,197.1223,197.058,1.1674,620717.6633,4631589.1777,1313.2354,-0.8627,0.0163,21.2449,0.9987,Yes,4.4057,0.0122,-1.6489,-0.0046,28.1887,14.0344,7.6766,0.0009,0.0003,100,0.0897,100,,0.6831740070255253
24,72,-72.6595,90.3596,198.5614,198.7069,0.9108,620718.5572,4631589.1744,1310.3717,-0.9316,0.0196,22.1387,0.9987,Yes,6.0546,0.0168,0.1596,0.0004,28.0166,14.0805,7.6784,0.0008,0.0003,100,0.2015,100,,0.7441996029645462
25,75,-72.5924,90.1017,198.5757,198.5473,1.0209,620719.453,4631589.1708,1307.5085,-0.9983,0.0232,23.0345,0.9989,Yes,5.895,0.0164,2.1675,0.006,27.5087,14.1275,7.6792,0.0009,0.0003,100,0.1375,100,,0.8032771416253222
26,78,-72.6705,90.2201,196.3652,196.3799,0.8567,620720.3485,4631589.1683,1304.6453,-1.0654,0.0257,23.93,0.9988,Yes,3.7276,0.0104,-0.0232,-0.0001,27.8446,14.1779,7.6801,0.0009,0.0003,100,0.1619,100,,0.862610788156289
27,81,-72.73100000000001,90.3722,196.2083,196.4031,0.7558,620721.2406,4631589.1637,1301.781,-1.1361,0.0303,24.8221,0.9984,Yes,3.7507,0.0104,0.1594,0.0004,27.9675,14.2301,7.6805,0.0009,0.0003,100,0.133,100,,0.9255832938737008
28,84,-72.9088,90.3652,195.9685,196.2437,1.7773,620722.1267,4631589.158,1298.9149,-1.213,0.036000000000000004,25.7082,0.9984,Yes,3.5913,0.01,1.9252,0.0053,28.0166,14.2865,7.6825,0.0008,0.0003,100,0.16899999999999998,100,,0.9948606291293167
29,87,-73.0213,90.8059,193.6904,194.3184,1.713,620723.0055,4631589.149,1296.0465,-1.2976,0.045,26.5871,0.9985,Yes,1.6661,0.0046,-2.0887,-0.0058,27.689,14.3437,7.6854,0.0008,0.0003,100,0.2273,100,,1.0719294173265088
30,90,-73.1441,90.6847,195.9298,196.4071,1.2774,620723.8784,4631589.1377,1293.1763,-1.3883,0.0564,27.46,0.9985,Yes,3.7548,0.0104,-0.0584,-0.0002,27.6152,14.4056,7.6884,0.0009,0.0003,100,0.2794,100,,1.1553000152383166
31,93,-73.2408,90.8576,195.9129,196.4655,1.0887,620724.7458,4631589.126,1290.3045,-1.4848,0.068,28.3274,0.9985,Yes,3.8132,0.0106,1.0441,0.0029,28.4508,14.4599,7.6889,0.0009,0.0003,100,0.3743,100,,1.244455066095143
32,96,-73.2328,91.1016,194.5974,195.4214,0.7084,620725.6109,4631589.1112,1287.432,-1.5836,0.0828,29.1926,0.9985,Yes,2.7691,0.0077,-1.6809,-0.0047,27.6316,14.5195,7.6915,0.0009,0.0003,100,0.2101,100,,1.3362361247902552
33,99,-73.2873,91.0693,196.2814,197.1023,0.5528,620726.4749,4631589.0948,1284.5591,-1.6837,0.0992,30.0565,0.9984,Yes,4.45,0.0124,-2.3333,-0.0065,23.2243,14.5692,7.6932,0.0009,0.0003,100,0.2949,100,,1.4293571866053878
34,102,-73.3625,90.9397,198.6647,199.4356,0.8390000000000001,620727.3356,4631589.0797,1281.6853,-1.7871,0.1143,30.9173,0.9984,Yes,6.7833,0.0188,-0.6024,-0.0017,28.0494,14.6104,7.6956,0.0009,0.0003,100,0.8485,100,,1.525857204571993
35,105,-73.3318,90.78200000000001,199.4203,200.03799999999998,0.5465,620728.1952,4631589.0668,1278.8111,-1.8916,0.1272,31.7769,0.9984,Yes,7.3857,0.0205,3.1971,0.0089,27.6644,14.655,7.6977,0.0009,0.0003,100,0.2749,100,,1.6233905234973505
36,108,-73.3361,90.4982,196.5086,196.8409,0.8151,620729.0555,4631589.0572,1275.9371,-1.9955,0.1368,32.6373,0.9982,Yes,4.1886,0.0116,2.0125,0.0056,27.5907,14.6998,7.7001,0.0009,0.0003,100,0.1844,100,,1.7199503897964759
37,111,-73.3726,90.5904,194.3927,194.8284,0.4501,620729.9148,4631589.049,1273.0628,-2.1004,0.145,33.4966,0.998,Yes,2.1761,0.006,-0.3432,-0.001,27.5661,14.7417,7.7009,0.0009,0.0003,100,0.2664,100,,1.817440742268731
38,114,-73.4303,90.9991,194.3638,195.1715,1.3027,620730.7717,4631589.0372,1270.1878,-2.2078,0.1569,34.3536,0.9984,Yes,2.5192,0.006999999999999999,0.2063,0.0006,27.6644,14.79,7.7015,0.0009,0.0003,100,0.2182,100,,1.9177133678122686
39,117,-73.5572,91.2489,193.8249,194.9653,1.454,620731.6239,4631589.0204,1267.3115,-2.3201,0.1736,35.2059,0.9982,Yes,2.3129,0.0064,1.9567,0.0054,27.6726,14.7005,7.7043,0.0009,0.0003,100,0.0981,100,,2.0232712104577835
40,120,-73.57,91.9452,191.2332,193.0085,1.9744,620732.4724,4631588.9968,1264.4341,-2.4361,0.1972,36.0545,0.9983,Yes,0.3562,0.001,-0.2829,-0.0008,27.9265,14.744000000000002,7.7068,0.0009,0.0003,100,0.1552,100,,2.133320749202791
41,123,-73.6365,92.4285,191.1242,193.2914,1.5175,620733.3187,4631588.9645,1261.5561,-2.5545,0.2295,36.9009,0.9983,Yes,0.6391,0.0018,-1.2339,-0.0034,28.3279,14.7899,7.7094,0.0009,0.0003,100,0.2319,100,,2.246595118854433
42,126,-73.7327,92.4784,192.3505,194.5253,0.9726,620734.1607,4631588.9284,1258.6769,-2.6772,0.2656,37.7431,0.9982,Yes,1.8730000000000002,0.0052,-0.7727,-0.0021,27.8938,14.8366,7.7105,0.0009,0.0003,100,0.1186,100,,2.3649207500169354
43,129,-73.7271,92.5382,192.9628,195.298,0.1765,620735.0004,4631588.8916,1255.797,-2.8022,0.3024,38.5831,0.9983,Yes,2.6457,0.0073,0.345,0.001,27.689,14.8794,7.712000000000001,0.0009,0.0003,100,0.1235,100,,2.485941052413129
44,132,-73.7874,92.7241,192.5,194.953,0.7962,620735.8386,4631588.8531,1252.9168,-2.9288,0.3409,39.4216,0.9981,Yes,2.3007,0.0064,0.1349,0.0004,27.8938,14.9213,7.7134,0.0009,0.0003,100,0.1396,100,,2.6088898258417146
45,135,-73.84,92.8515,192.1633,194.8181,0.6346,620736.6739,4631588.8124,1250.0357,-3.0583,0.3816,40.2572,0.9979,Yes,2.1658,0.006,-1.5542,-0.0043,27.9183,14.9635,7.7173,0.0009,0.0003,100,0.1354,100,,2.7353484735104305
46,138,-73.8977,92.7821,193.7802,196.3723,0.6089,620737.5064,4631588.7715,1247.1538,-3.1907,0.4225,41.0901,0.9983,Yes,3.72,0.0103,-0.5128,-0.0014,27.4924,15.0053,7.7192,0.0009,0.0003,100,0.2076,100,,2.864914285894728
47,141,-73.918,92.745,194.2992,196.8851,0.22699999999999998,620738.337,4631588.7314,1244.2714,-3.3251,0.4626,41.92100000000001,0.9982,Yes,4.2328,0.0118,1.2372,0.0034,27.607,15.0441,7.721,0.0009,0.0003,100,0.1189,100,,2.996465020219444
48,144,-73.9988,92.7883,193.1597,195.6479,0.8176,620739.165,4631588.6914,1241.3882,-3.4621,0.5026,42.7495,0.9983,Yes,2.9956,0.0083,-1.3319,-0.0037,27.4104,15.0859,7.7216,0.0009,0.0003,100,0.08199999999999999,100,,3.1308189663654216
49,147,-73.991,92.632,194.5616,196.9798,0.4381,620739.9913,4631588.6522,1238.5045,-3.6010000000000004,0.5418,43.5761,0.9985,Yes,4.3275,0.012,-0.0625,-0.0002,27.8037,15.1204,7.7247,0.0009,0.0003,100,0.1584,100,,3.2668989660162513
50,150,-73.9794,92.4156,194.8415,197.0423,0.6081,620740.8181,4631588.6158,1235.6209,-3.7393,0.5782,44.4034,0.9983,Yes,4.3899,0.0122,1.8086,0.005,27.7791,15.1581,7.727,0.0009,0.0003,100,0.1841,100,,3.402090036246109
51,153,-73.9394,92.5001,192.9445,195.2336,0.4635,620741.6463,4631588.5803,1232.7377,-3.8762,0.6138,45.232,0.9981,Yes,2.5813,0.0072,-0.6221,-0.0017,27.8774,15.1915,7.7296,0.0009,0.0003,100,0.0977,100,,3.535746339924341
52,156,-73.9435,92.5282,193.5381,195.8557,0.0875,620742.4754,4631588.5439,1229.8548,-4.0122,0.6502,46.0615,0.9983,Yes,3.2034,0.0089,-0.4827,-0.0013,27.6726,15.231,7.7313,0.0009,0.0003,100,0.1091,100,,3.668672797223016
53,159,-73.9683,92.6064,193.9644,196.3385,0.3289,620743.3037,4631588.5067,1226.9716,-4.1489,0.6873,46.8902,0.998,Yes,3.6861,0.0102,-2.5975,-0.0072,27.7135,15.2715,7.7331,0.0009,0.0003,100,0.1815,100,,3.8026296203069396
54,162,-74.0241,92.4095,196.7115,198.93599999999998,0.7785,620744.13,4631588.4705,1224.0879,-4.2877,0.7235,47.717,0.9983,Yes,6.2837,0.0175,1.8229,0.0051,27.9511,15.3064,7.7361,0.0009,0.0003,100,0.1504,100,,3.938471280328888
55,165,-74.0422,92.5228,194.765,197.1131,0.3605,620744.9545,4631588.435,1221.2036,-4.4284,0.759,48.5419,0.9982,Yes,4.4607,0.0124,-0.8706,-0.0024,27.5989,15.344000000000001,7.7385,0.0009,0.0003,100,0.0722,100,,4.0760798506553
56,168,-74.0856,92.6825,195.4597,197.9837,0.6172,620745.7773,4631588.3976,1218.3189,-4.5707,0.7964,49.3652,0.998,Yes,5.3313,0.0148,-0.105,-0.0003,28.1723,15.3801,7.7404,0.0009,0.0003,100,0.1296,100,,4.215782292497519
57,171,-74.0765,92.626,195.6386,198.0887,0.1799,620746.5993,4631588.3595,1215.434,-4.7139999999999995,0.8345,50.1877,0.9981,Yes,5.4364,0.0151,0.0108,0.0,27.5333,15.4127,7.7414,0.0009,0.0003,100,0.1352,100,,4.356456709058412
58,174,-74.0781,92.8069,195.4025,198.0779,0.4966,620747.4214,4631588.3205,1212.5491,-4.8571,0.8735,51.0103,0.9978,Yes,5.4256,0.0151,0.0761,0.0002,27.8446,15.4397,7.7431,0.0009,0.0003,100,0.1291,100,,4.497242131722766
59,177,-74.1034,92.9268,195.2937,198.0018,0.4151,620748.2427,4631588.2794,1209.664,-5.0009,0.9146,51.8322,0.9978,Yes,5.3495,0.0149,0.2014,0.0006,27.5333,15.4745,7.7462,0.0009,0.0003,100,0.1096,100,,4.639279740118734
60,180,-74.092,92.9529,195.1325,197.8004,0.1344,620749.0636,4631588.2372,1206.7788,-5.1451,0.9568,52.6538,0.998,Yes,5.1481,0.0143,0.0217,0.0001,27.648000000000003,15.5044,7.7695,0.0009,0.0003,100,0.1373,100,,4.78197926162328
61,183,-74.0847,93.2204,194.7941,197.7787,0.7371,620749.8848,4631588.1929,1203.8937,-5.2889,1.0011,53.4757,0.9984,Yes,5.1264,0.0142,-0.9064,-0.0025,27.5907,15.5321,7.7505,0.0009,0.0003,100,0.1228,100,,4.924836385709408
62,186,-74.0466,93.3042,195.65900000000002,198.6851,0.4453,620750.7071,4631588.1461,1201.009,-5.4315,1.048,54.2987,0.9983,Yes,6.0328,0.0168,-1.8311,-0.0051,27.9593,15.5599,7.7515,0.0009,0.0003,100,0.1028,100,,5.067115273128263
63,189,-73.9629,92.9945,197.7597,200.5162,1.1948,620751.5325,4631588.1006,1198.1252,-5.5709,1.0934,55.1249,0.9981,Yes,7.8639,0.0218,1.765,0.0049,27.9265,15.5865,7.7536,0.0009,0.0003,100,0.1062,100,,5.2060282241783655
64,192,-73.8564,92.7018,196.3084,198.7512,1.3391,620752.363,4631588.0593,1195.2427,-5.7052,1.1347,55.956,0.9982,Yes,6.0989,0.0169,-0.7014,-0.0019,27.901999999999997,15.6106,7.7586,0.0009,0.0003,100,0.1282,100,,5.338966112872113
65,195,-73.8455,92.4551,197.3345,199.4526,0.6946,620753.1965,4631588.0218,1192.3611,-5.8364,1.1722,56.7901,0.998,Yes,6.8003,0.0189,1.3275,0.0037,27.7873,15.6337,7.7593,0.0009,0.0003,100,0.0672,100,,5.468062939045589
66,198,-73.83800000000001,92.1726,196.2068,198.1252,0.7897,620754.0307,4631587.9881,1189.4796,-5.9669,1.2059,57.6248,0.9979,Yes,5.4728,0.0152,0.4909,0.0014,28.0658,15.6528,7.7615,0.0009,0.0003,100,0.1295,100,,5.595676785874397
67,201,-73.7786,92.0289,195.9824,197.6343,0.7173,620754.8667,4631587.9574,1186.5986,-6.0956,1.2366,58.4613,0.9982,Yes,4.9819,0.0138,1.9706,0.0055,27.6562,15.6766,7.7637,0.0009,0.0003,100,0.1272,100,,5.720825813715692
68,204,-73.7968,92.1348,193.8958,195.6636,0.3473,620755.7038,4631587.927,1183.7179,-6.2233,1.2670000000000001,59.2988,0.9978,Yes,3.0113,0.0084,0.7394,0.0021,27.6562,15.6831,7.7667,0.0009,0.0003,100,0.0745,100,,5.844799976241354
69,207,-73.8415,92.384,192.8558,194.9242,0.826,620756.5391,4631587.893999999,1180.8367,-6.3526,1.3,60.1347,0.9979,Yes,2.2719,0.0063,-0.4826,-0.0013,28.2706,15.7045,7.7699,0.0009,0.0003,100,0.1138,100,,5.971164426118372
70,210,-73.8007,92.2991,193.4671,195.4069,0.47200000000000003,620757.3743,4631587.8599,1177.9555,-6.4821,1.3341,60.9704,0.9979,Yes,2.7545,0.0077,-0.081,-0.0002,28.1395,15.7121,7.7715,0.0009,0.0003,100,0.1211,100,,6.097867873330043
71,213,-73.7816,92.1756,193.6744,195.4878,0.3939,620758.2111,4631587.8272,1175.0748,-6.6099,1.3668,61.8077,0.9976,Yes,2.8355,0.0079,1.213,0.0034,27.8774,15.7232,7.7737,0.0009,0.0003,100,0.1531,100,,6.222635390138797
72,216,-73.8524,92.4138,192.2283,194.2748,0.9707,620759.0466,4631587.7937,1172.1936,-6.7392,1.4003,62.6437,0.9978,Yes,1.6225,0.0045,-0.0748,-0.0002,28.1477,15.7264,7.7779,0.0009,0.0003,100,0.1438,100,,6.348939862718474
73,219,-73.8526,92.5214,192.1049,194.3496,0.2992,620759.8801,4631587.7578,1169.312,-6.8703,1.4362,63.4779,0.9979,Yes,1.6973,0.0047,0.2341,0.0007,28.0166,15.7276,7.7809,0.0009,0.0003,100,0.1313,100,,6.477759136561082
74,222,-73.8638,92.7435,191.6765,194.1156,0.6277,620760.7133,4631587.7195,1166.4303,-7.0017,1.4745,64.3117,0.9977,Yes,1.4632,0.0041,0.3584,0.001,28.1231,15.7257,7.7815,0.0009,0.0003,100,0.0857,100,,6.607430573164502
75,225,-73.8792,92.9584,191.1324,193.7572,0.6164,620761.5456,4631587.6781,1163.5483,-7.1339999999999995,1.516,65.1448,0.9977,Yes,1.1049,0.0031,-0.5467,-0.0015,27.6644,15.7211,7.7844,0.0009,0.0003,100,0.1313,100,,6.738736976939694
76,228,-73.8811,93.0326,191.5786,194.3039,0.2068,620762.3774,4631587.6345,1160.6663,-7.2667,1.5595,65.9774,0.9978,Yes,1.6516,0.0046,-0.1638,-0.0005,27.607,15.7126,7.7881,0.0009,0.0003,100,0.1034,100,,6.87102916640667
77,231,-73.885,93.18299999999999,191.6606,194.4677,0.4195,620763.209,4631587.5894,1157.7842,-7.3996,1.6046,66.8098,0.9979,Yes,1.8154,0.005,-0.3417,-0.0009,27.9921,15.7063,7.79,0.0009,0.0003,100,0.1015,100,,7.003908032711889
78,234,-73.8841,93.33,191.8822,194.8094,0.408,620764.0404,4631587.5421,1154.9021,-7.5327,1.6519,67.642,0.998,Yes,2.1571,0.006,0.3732,0.001,27.8774,15.693,7.7911,0.0009,0.0003,100,0.1918,100,,7.1375138630962525
79,237,-73.8811,93.4338,191.3817,194.4362,0.2899,620764.8717,4631587.4929,1152.02,-7.6657,1.7011,68.4744,0.9978,Yes,1.7839,0.005,-0.0194,-0.0001,27.435,15.6797,7.7943,0.0009,0.0003,100,0.146,100,,7.271696478005964
80,240,-73.8956,93.7021,191.196,194.4556,0.7583,620765.7027,4631587.4411,1149.1378,-7.7989999999999995,1.7529,69.3063,0.9979,Yes,1.8033,0.005,1.8033,0.005,27.689,15.6645,7.7982,0.0009,0.0003,100,0.1273,100,,7.406847365259465
81,243,-73.8805,93.7886,189.2315,192.6523,0.2835,620766.5334,4631587.3868,1146.2557,-7.9325,1.8073,70.1382,0.9979,Yes,0.0,0.0,0.0,0.0,0.0,15.6475,7.8007,0.0009,0.0003,100,0.0,100,,7.54290209491609
