,Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality,Unnamed: 26,Deviation
0,0,-71.3507,90.0,198.4897,198.4897,0.0,620696.4185,4631589.194,1378.8818,0.0,0.0,0.0,0.9987,Yes,5.8374,0.0162,3.51,0.0098,29.5322,14.5234,7.6394,0.0017,0.0019,100,0.2214,100,,0.0
1,3,-71.4336,89.7097,195.3081,194.9797,1.2429,620697.3758,4631589.1964,1376.0386,-0.0022,-0.0024,0.9573,0.9983,No,2.3274,0.0065,-1.2535,-0.0035,27.8938,14.581,7.6399,0.0012,0.0011,100,0.3227,100,,0.006156756041813855
2,6,-71.5984,89.708,196.5635,196.2332,1.6478,620698.3269,4631589.2013,1373.1934,-0.0108,-0.0073,1.9084,0.9984,No,3.5809,0.0099,2.615,0.0073,27.8774,14.5099,7.6407,0.0011,0.0011,100,0.2458,100,,0.0087505024863302
3,9,-71.6155,89.635,194.0646,193.6182,0.2873,620699.2735,4631589.2067,1370.3467,-0.0243,-0.0127,2.855,0.9984,Yes,0.9659,0.0027,-0.925,-0.0026,27.5661,14.4385,7.6429,0.0009,0.0003,100,0.2148,100,,0.012723027572752678
4,12,-71.6341,89.8619,194.8019,194.5432,0.7389,620700.2192,4631589.2108,1367.4996,-0.0386,-0.0168,3.8007,0.9984,Yes,1.8909,0.0053,-0.4688,-0.0013,28.0003,14.3628,7.6456,0.001,0.0004,100,0.3766,100,,0.018329994418578348
5,15,-71.7397,89.9514,195.1542,195.012,1.0927,620701.1618,4631589.2124,1364.6516,-0.0562,-0.0184,4.7433,0.9985,Yes,2.3597,0.0066,-0.7558,-0.0021,28.9178,14.2818,7.647,0.0009,0.0006,100,0.2899,100,,0.02513640261188545
6,18,-71.7849,90.3444,195.5871,195.7678,1.3101,620702.1007,4631589.21,1361.8023,-0.0778,-0.016,5.6822,0.9988,Yes,3.1155,0.0087,-0.6851,-0.0019,30.6709,14.1954,7.6495,0.0009,0.0007,100,0.3101,100,,0.03474380674248917
7,21,-71.7903,90.3487,196.2288,196.4529,0.0554,620703.0383,4631589.2043,1358.9525,-0.1007,-0.0103,6.6198,0.9988,Yes,3.8006,0.0106,-0.7939,-0.0022,28.0003,14.11,7.6506,0.0009,0.0005,100,0.1625,100,,0.047087161787236924
8,24,-71.8027,90.4057,197.0624,197.2468,0.2168,620703.9754,4631589.1981,1356.1027,-0.1241,-0.0041,7.5569,0.9986,Yes,4.5945,0.0128,1.8245,0.0051,28.3607,14.0287,7.6512,0.0009,0.0003,100,0.138,100,,0.061664250823146215
9,27,-71.8926,90.3946,195.1747,195.4224,0.9002,620704.91,4631589.1916,1353.2520000000002,-0.1501,0.0024,8.4915,0.9984,Yes,2.7701,0.0077,-1.9356,-0.0054,27.82,13.9493,7.6534,0.0009,0.0003,100,0.2512,100,,0.07980109240032497
