,Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality,Unnamed: 26,Deviation
40,120,-72.0539,95.6968,82.277,87.491,1.3524,620891.2139,4631515.9582,1245.9108,2.3473,3.6368,38.5041,0.9977,Yes,13.6703,0.038,-4.0452,-0.0112,28.0003,13.6263,7.9127,0.0009,0.0003,100,0.1853,100.0,,3.875366407867096
41,123,-72.0671,95.1756,86.7974,91.5362,1.6109,620892.1338,4631515.8706,1243.0566,2.3653,3.7244,39.4281,0.9977,Yes,17.7155,0.0492,10.9074,0.0303,27.9921,13.6717,7.9151,0.0009,0.0003,100,0.0977,100.0,,3.955312159415084
42,126,-72.2455,95.2196,75.857,80.6288,1.7891,620893.0493,4631515.7874,1240.2009,2.3783,3.8077,40.3474,0.9977,Yes,6.8081,0.0189,-8.2741,-0.023,28.033,13.7139,7.9205,0.0009,0.0003,100,0.2237,100.0,,4.029908878450609
43,129,-72.4342,94.976,84.3022,88.9029,2.0266,620893.9558,4631515.7065,1237.3423,2.3816,3.8885,41.2574,0.9976,Yes,15.0822,0.0419,3.5522,0.0099,28.1231,13.7535,7.9228,0.0009,0.0003,100,0.1119,100.0,,4.099690088978968
44,132,-72.5279,94.4215,81.2783,85.3507,1.9139,620894.8558,4631515.6325,1234.4815,2.3775,3.9625,42.1604,0.9975,Yes,11.53,0.032,2.6425,0.0073,28.9096,13.7848,7.9258,0.0009,0.0003,100,0.15,100.0,,4.161315286020412
45,135,-72.6076,94.1596,78.7773,82.7082,1.1183,620895.752,4631515.5653,1231.6193,2.3688,4.0298,43.059,0.9979,Yes,8.8875,0.0247,-2.4986,-0.0069,28.1068,13.8158,7.9304,0.0009,0.0003,100,0.1319,100.0,,4.21583500967967
46,138,-72.7595,94.3793,81.1047,85.2069,1.6544,620896.6425,4631515.4988,1228.7552,2.354,4.0962,43.9518,0.9977,Yes,11.3862,0.0316,-1.7038,-0.0047,28.3935,13.845,7.9334,0.0009,0.0003,100,0.1163,100.0,,4.268595114930204
47,141,-72.7885,94.0578,83.1659,86.9107,0.9949,620897.5285,4631515.4334,1225.8898,2.3345,4.1616,44.84,0.9978,Yes,13.09,0.0364,-2.762,-0.0077,28.0658,13.8704,7.9373,0.0009,0.0003,100,0.0759,100.0,,4.319759770777122
48,144,-72.8627,93.7228,86.242,89.6726,1.2365,620898.4123,4631515.3733,1223.0236,2.3122,4.2217,45.7256,0.9975,Yes,15.852,0.044000000000000004,-0.0681,-0.0002,28.1395,13.8846,7.9418,0.0009,0.0003,100,0.0531,100.0,,4.366002340188967
49,147,-72.9588,93.0743,86.9066,89.7408,2.1345,620899.2923,4631515.321,1220.156,2.2852,4.274,46.6067,0.9976,Yes,15.9201,0.0442,3.9447,0.011000000000000001,28.0166,13.8934,7.9452,0.0009,0.0003,100,0.0853,100.0,,4.404494056135702
50,150,-73.0029,92.3268,83.6044,85.7961,2.2317,620900.1694,4631515.2797,1217.2874,2.2542,4.3153,47.4839,0.9974,Yes,11.9754,0.0333,-4.9743,-0.0138,28.0658,13.8933,7.9503,0.0009,0.0003,100,0.2054,100.0,,4.4324044378818765
51,153,-72.9281,92.0369,88.8214,90.7704,1.1316,620901.0476,4631515.2462,1214.4189999999999,2.2237,4.3488,48.3615,0.9975,Yes,16.9497,0.0471,3.1215,0.0087,28.0822,13.8947,7.9528,0.0009,0.0003,100,0.0301,100.0,,4.4537538069558
52,156,-72.8252,91.5647,86.0935,87.6489,1.7295,620901.9304,4631515.2185,1211.552,2.1975,4.3765,49.2433,0.9975,Yes,13.8282,0.0384,1.3497,0.0037,28.2952,13.8991,7.9557,0.0009,0.0003,100,0.0629,100.0,,4.471134389335281
53,159,-72.693,91.5534,84.875,86.2991,1.3224,620902.8193,4631515.1943,1208.6868,2.1773,4.4007,50.1308,0.9978,Yes,12.4785,0.0347,1.1268,0.0031,28.033,13.9,7.9618,0.0009,0.0003,100,0.0761,100.0,,4.486890979255585
54,162,-72.6735,91.4492,83.8477,85.1723,0.3667,620903.7119,4631515.1709,1205.8228,2.1611,4.4241,51.0221,0.998,Yes,11.3517,0.0315,2.6685,0.0074,28.3771,13.8977,7.9638,0.0009,0.0003,100,0.0634,100.0,,4.503011655365524
55,165,-72.691,91.2609,81.4083,82.5038,0.5874,620904.6047,4631515.1498,1202.9588,2.1449,4.4452,51.9134,0.998,Yes,8.6831,0.0241,1.0325,0.0029,28.2542,13.892000000000001,7.9704,0.0009,0.0003,100,0.3412,100.0,,4.5172537512534365
56,168,-72.7466,91.3077,80.3349,81.4714,0.5734,620905.4957,4631515.1298,1200.0942,2.1268,4.4652,52.8028,0.9979,Yes,7.6507,0.0213,2.5149,0.006999999999999999,28.6884,13.8815,7.9736,0.0009,0.0003,100,0.1494,100.0,,4.5304304079297975
57,171,-72.8574,91.1545,77.918,78.9564,1.1976,620906.3825,4631515.1107,1197.2283,2.1043,4.4843,53.6881,0.9979,Yes,5.1358,0.0143,5.1358,0.0143,30.1056,13.8568,7.9782,0.0008,0.0003,100,0.1459,100.0,,4.542386156557608
58,174,-72.9666,90.7188,73.0408,73.8207,1.6821,620907.2639,4631515.0963,1194.3608,2.0758,4.4987,54.5676,0.9983,Yes,0.0,0.0,0.0,0.0,0.0,13.8015,7.9827,0.0009,0.0003,100,0.0,100.0,,4.549303214283329
